beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score
"Courage Directors","Eagle Brewery (formerly Charles Wells)","Extra Special / Strong Bitter",4.8,35,,"Leeds Festival",,,"United Kingdom",53.864,-1.38947,3.25,"2016-08-28 17:34:19",https://untappd.com/c/354070227,https://untappd.com/beer/6172,https://untappd.com/brewery/1348,England,Bedford,Bedfordshire,,,,354070227,6172,1348,,3.31,3.32
"Punk IPA",BrewDog,"IPA - American",5.6,35,,,,,,,,2.75,"2016-08-28 17:34:29",https://untappd.com/c/354070294,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,,,,354070294,5702,241,,3.78,3.78
"Biere d'Or des Flandres","Brasserie de Saint-Omer","Lager - Pale",4,0,,,,,,,,0.5,"2016-09-02 21:58:15",https://untappd.com/c/355599392,https://untappd.com/beer/361087,https://untappd.com/brewery/1431,France,Saint-Omer,Pas-de-Calais,,,,355599392,361087,1431,,2.72,2.84
Tiger,"Everards Brewery","English Bitter",4.2,0,"Very good.",,,,,,,3.75,"2016-09-09 19:02:29",https://untappd.com/c/358301626,https://untappd.com/beer/11996,https://untappd.com/brewery/3263,England,Narborough,Leicestershire,,,,358301626,11996,3263,,3.39,3.4
"Nanny State",BrewDog,"Non-Alcoholic Beer",0.5,45,,,,,,,,2.5,"2016-09-09 19:02:42",https://untappd.com/c/358301705,https://untappd.com/beer/10839,https://untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,,,,358301705,10839,241,,2.75,2.76
Wherry,"Woodforde's Ltd","English Bitter",3.8,0,,,,,,,,3.25,"2016-09-09 19:08:03",https://untappd.com/c/358303788,https://untappd.com/beer/18968,https://untappd.com/brewery/1373,England,"Woodbastwick, Norwich",Norfolk,,,,358303788,18968,1373,,3.36,3.38
"Nanny State",BrewDog,"Non-Alcoholic Beer",0.5,45,,,,,,,,2.5,"2016-09-09 19:08:54",https://untappd.com/c/358304149,https://untappd.com/beer/10839,https://untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,,,,358304149,10839,241,,2.75,2.76
Halcyon,"Thornbridge Brewery","IPA - Imperial / Double",7.4,70,"Really really good. Citrus peel, pithy hoppy and everscent","The Stoneworks Bar",Peterborough,Peterborough,"United Kingdom",52.5724,-0.244432,3.75,"2016-09-10 16:23:48",https://untappd.com/c/358760950,https://untappd.com/beer/13845,https://untappd.com/brewery/2047,England,Bakewell,Derbyshire,,,,358760950,13845,2047,,3.78,3.78
"DIPA V6","Cloudwater Brew Co.","IPA - Imperial / Double",9,0,Wow,,,,,,,4,"2016-09-11 09:31:05",https://untappd.com/c/359365807,https://untappd.com/beer/1673830,https://untappd.com/brewery/189896,England,Manchester,Lancashire,,,,359365807,1673830,189896,,4.29,4.25
"Spring + Summer 2016 Vic's Secret IPA","Cloudwater Brew Co.","IPA - American",6.5,0,,,,,,,,3,"2016-09-14 21:37:31",https://untappd.com/c/360249597,https://untappd.com/beer/1685027,https://untappd.com/brewery/189896,England,Manchester,Lancashire,,,,360249597,1685027,189896,,4.01,3.96
